p1,p2,p3,Gou_D1,Gou_D2,Gou_D3,BU_mix_0p3_D1,BU_mix_0p3_D2,BU_mix_0p3_D3
0.000000,0.031034,0.051724,1,0,0,1,1,0
0.000000,0.031034,0.062069,1,0,0,1,1,0
0.000000,0.031034,0.072414,1,0,0,1,1,0
0.000000,0.031034,0.082759,1,0,0,1,1,0
0.000000,0.031034,0.093103,1,0,0,1,1,0
0.000000,0.031034,0.103448,1,0,0,1,1,0
0.000000,0.031034,0.113793,1,0,0,1,1,0
0.000000,0.031034,0.124138,1,0,0,1,1,0
0.000000,0.031034,0.134483,1,0,0,1,1,0
0.000000,0.031034,0.144828,1,0,0,1,1,0
0.000000,0.031034,0.155172,1,0,0,1,1,0
0.000000,0.031034,0.165517,1,0,0,1,1,0
0.000000,0.031034,0.175862,1,0,0,1,1,0
0.000000,0.031034,0.186207,1,0,0,1,1,0
0.000000,0.031034,0.196552,1,0,0,1,1,0
0.000000,0.031034,0.206897,1,0,0,1,1,0
0.000000,0.031034,0.217241,1,0,0,1,1,0
0.000000,0.031034,0.227586,1,0,0,1,1,0
0.000000,0.031034,0.237931,1,0,0,1,1,0
0.000000,0.031034,0.248276,1,0,0,1,1,0
0.000000,0.031034,0.258621,1,0,0,1,1,0
0.000000,0.031034,0.268966,1,0,0,1,1,0
0.000000,0.031034,0.279310,1,0,0,1,1,0
0.000000,0.041379,0.051724,1,0,0,1,1,0
0.000000,0.041379,0.062069,1,0,0,1,1,0
0.000000,0.041379,0.072414,1,0,0,1,1,0
0.000000,0.041379,0.082759,1,0,0,1,1,0
0.000000,0.041379,0.093103,1,0,0,1,1,0
0.000000,0.041379,0.103448,1,0,0,1,1,0
0.000000,0.041379,0.113793,1,0,0,1,1,0
0.000000,0.041379,0.124138,1,0,0,1,1,0
0.000000,0.041379,0.134483,1,0,0,1,1,0
0.000000,0.041379,0.144828,1,0,0,1,1,0
0.000000,0.041379,0.155172,1,0,0,1,1,0
0.000000,0.041379,0.165517,1,0,0,1,1,0
0.000000,0.041379,0.175862,1,0,0,1,1,0
0.000000,0.041379,0.186207,1,0,0,1,1,0
0.000000,0.051724,0.031034,1,0,0,1,0,1
