study,BU Pi_mix(0.3),BU Pi_mix(0.7),BU Pi_1(0.3),Hommel,Gou,Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.7)
1,5,5,5,5,5,5,5,5,5
2,5,5,5,5,5,5,5,5,5
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,0,0
8,3,3,3,3,3,3,3,3,3
9,3,3,3,3,3,3,3,3,3
10,1,1,0,0,0,0,0,0,0
11,1,1,1,1,1,1,1,1,1
12,5,5,5,5,5,5,5,5,5
13,0,0,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,1,1,1,1,1,1,1,1,1
19,3,3,3,3,3,3,3,3,3
20,2,2,2,2,2,2,2,2,2
21,1,1,0,0,1,1,1,0,0
22,1,1,0,0,1,1,1,0,0
23,0,0,0,0,0,0,0,0,0
24,1,1,1,1,1,1,1,1,1
25,2,1,0,0,1,1,1,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,1,1,1,1,1,1,1,1,1
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,2,2,2,2,2,2,2,2,2
33,2,2,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,4,4,3,3,3,3,3,3,3
36,5,5,5,5,5,5,5,5,5
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,1,1,1,1,1,1,1,1,1
43,5,5,5,5,5,5,5,5,5
44,1,1,1,1,1,1,1,1,1
45,3,3,3,3,3,3,3,3,3
46,4,4,2,2,2,2,2,2,2
47,4,4,4,4,4,4,4,4,4
48,4,4,4,4,4,4,4,4,4
49,5,5,5,5,5,5,5,5,5
50,5,5,5,5,5,5,5,5,5
51,3,3,3,3,3,3,3,3,3
52,5,5,5,5,5,5,5,5,5
53,2,2,2,2,2,2,2,2,2
54,0,0,0,0,0,0,0,0,0
55,3,2,1,2,2,2,2,2,2
56,0,0,0,0,0,0,0,0,0
57,5,5,5,5,5,5,5,5,5
58,3,3,3,3,3,3,3,3,3
59,1,1,1,1,1,1,1,1,1
60,5,5,5,5,5,5,5,5,5
61,4,4,4,4,4,4,4,4,4
62,4,4,4,4,4,4,4,4,4
63,5,5,5,5,5,5,5,5,5
64,1,1,1,1,1,1,1,1,1
65,5,5,5,5,5,5,5,5,5
66,2,2,2,2,2,2,2,2,2
67,2,2,2,2,2,2,2,2,2
68,2,2,2,2,2,2,2,2,2
69,5,5,5,5,5,5,5,5,5
70,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0
72,1,1,1,1,1,1,1,1,1
73,0,0,0,0,0,0,0,0,0
74,1,1,1,1,1,1,1,1,1
75,2,2,2,2,2,2,2,2,2
76,0,0,0,0,0,0,0,0,0
77,2,2,2,2,2,2,2,2,2
78,2,2,2,2,2,2,2,2,2
79,3,3,3,3,3,3,3,3,3
80,0,0,0,0,0,0,0,0,0
81,1,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,1,1
83,4,4,4,4,4,4,4,4,4
84,1,1,1,1,1,1,1,1,1
85,2,3,3,3,3,3,3,3,3
86,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1
89,4,4,4,4,4,4,4,4,4
90,1,1,1,1,1,1,1,1,1
91,5,5,5,5,5,5,5,5,5
92,3,3,3,3,3,3,3,3,3
93,2,1,1,1,1,1,1,1,1
94,0,0,0,0,0,0,0,0,0
95,1,1,1,1,1,1,1,1,1
